,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
334,334,169000,5.2015,Essence,Manuelle,5,Citadine,36500,Aubergine,CITROEN,C4 CACTUS
335,335,51813,10.2021,Essence,Automatique,8,SUV/4x4,116000,Gris anthracite,KIA,SPORTAGE
336,336,174000,6.2016,Essence,Manuelle,7,SUV/4x4,46500,Blanc,SSANGYONG,TIVOLI
337,337,146000,4.2017,Essence,Manuelle,7,Berline,35000,Noir,HONDA,CITY
338,338,160000,6.2016,Diesel,Automatique,10,SUV/4x4,73000,Noir,CHEVROLET,CAPTIVA
339,339,49000,10.2019,Hybride (diesel),Automatique,8,SUV/4x4,210000,Blanc,LAND ROVER,RANGE ROVER
340,340,84000,1.2019,Essence,Automatique,9,SUV/4x4,127000,Noir,DS,7
341,341,63000,5.2019,Essence,Manuelle,5,Citadine,83500,Blanc,GOLF,7
342,342,220000,6.2016,Diesel,Manuelle,5,Autres,38500,Rouge,RENAULT,CLIO
343,343,31000,9.2019,Essence,Automatique,9,Coupé,184000,Blanc,MERCEDES-BENZ,CLA
344,344,59000,7.2022,Essence,Manuelle,8,SUV/4x4,80000,Bleu,DFSK,GLORY 580
345,345,190000,9.2008,Essence,Automatique,20,SUV/4x4,52000,Blanc,INFINITI,FX
346,346,185000,8.2007,Essence,Automatique,23,SUV/4x4,69000,Gris Shark,LAND ROVER,DISCOVERY
347,347,65500,11.202,Essence,Automatique,10,Berline,190000,Noir,BMW,SERIE 5
348,348,115000,12.2017,Diesel,Manuelle,5,Utilitaire,31000,Blanc,FIAT,DOBLO
349,349,431000,9.201,Essence,Manuelle,6,Berline,24900,Noir,FORD,FOCUS
350,350,189000,10.201,Essence,Automatique,19,SUV/4x4,69500,Bleu,BMW,X5
351,351,9000,8.2022,Diesel,Automatique,11,Pick up,110000,Noir,GREAT WALL,POER
352,352,120000,9.2017,Essence,Manuelle,6,Berline,52000,Bleu,MAZDA,3
353,353,65000,2.2009,Diesel,Manuelle,6,Berline,25500,Noir,RENAULT,LAGUNA
354,354,94000,10.2017,Essence,Automatique,7,Berline,100000,Noir,BMW,SERIE 4
355,355,81000,7.2021,Essence,Manuelle,8,SUV/4x4,64500,Beige,DONGFENG,SX3
356,356,203000,9.2008,Essence,Automatique,21,SUV/4x4,72000,Gris anthracite,PORSCHE,CAYENNE
357,357,26000,12.2022,Diesel,Manuelle,6,Pick up,91500,Gris anthracite,PEUGEOT,LANDTREK
358,358,33000,6.2022,Diesel,Automatique,10,Berline,275000,Noir,BMW,SERIE 5
359,359,40000,3.2021,Essence,Automatique,8,Compacte,137000,Bleu,BMW,SERIE 1
360,360,65000,3.202,Essence,Automatique,7,Compacte,142000,Noir,MERCEDES-BENZ,CLASSE A
361,361,183000,9.2019,Diesel,Manuelle,9,Pick up,67000,Blanc,CITROEN,JUMPER
362,362,210000,9.2012,Diesel,Automatique,12,SUV/4x4,60000,Noir,KIA,SORENTO
363,363,176000,12.2016,Essence,Automatique,8,SUV/4x4,79000,Gris argent,KIA,SPORTAGE
364,364,90000,2.2014,Essence,Manuelle,9,SUV/4x4,54000,Noir,PEUGEOT,4008
365,365,130000,4.2019,Essence,Automatique,9,SUV/4x4,78000,Blanc,HAVAL,H6
366,366,110000,9.2019,Essence,Automatique,8,Berline,95000,Blanc,AUDI,A4
367,367,85000,1.2019,Essence,Automatique,7,SUV/4x4,65000,Beige,FORD,ECOSPORT
368,368,170000,5.2015,Essence,Automatique,15,SUV/4x4,120000,Autre,LAND ROVER,DISCOVERY
369,369,30000,7.2021,Essence,Manuelle,7,SUV/4x4,65000,Rouge,DONGFENG,SX3
370,370,58000,5.2022,Essence,Automatique,9,Citadine,104000,Noir,KIA,XCEED
371,371,61000,12.202,Essence,Automatique,9,Citadine,100000,Noir,MITSUBISHI,ASX
372,372,166000,12.2015,Essence,Manuelle,7,Berline,67900,Noir,BMW,SERIE 3
373,373,109000,5.2019,Essence,Automatique,7,Berline,109500,Noir,BMW,SERIE 4
374,374,144000,11.2015,Essence,Manuelle,4,Citadine,46500,Rouge,MINI,
375,375,192000,12.2013,Diesel,Automatique,11,SUV/4x4,190000,Noir,TOYOTA,LAND CRUISER
376,376,101000,2.2021,Diesel,Manuelle,5,Utilitaire,36000,Blanc,FIAT,FIORINO
377,377,121000,6.2014,Essence,Automatique,6,Citadine,54000,Gris anthracite,SEAT,LEON
378,378,260000,2.2011,Essence,Manuelle,9,Berline,26500,Noir,CITROEN,C5
379,379,100000,7.2019,Essence,Manuelle,4,Citadine,33000,Noir,NISSAN,MICRA
380,380,219000,1.2014,Diesel,Automatique,8,Berline,60000,Noir,AUDI,A4
381,381,176000,4.2014,Diesel,Automatique,11,SUV/4x4,121000,Blanc,LAND ROVER,RANGE ROVER
382,382,45187,9.2019,Essence,Manuelle,6,Compacte,93000,Gris Shark,GOLF,7
383,383,211077,10.2016,Hybride (diesel),Automatique,11,Berline,220000,Noir,MERCEDES-BENZ,CLASSE S
384,384,82000,6.2019,Essence,Automatique,17,SUV/4x4,380000,Noir,LAND ROVER,RANGE ROVER
385,385,11000,6.2022,Hybride (essence),Automatique,8,SUV/4x4,118000,Blanc,FORD,PUMA
386,386,1,11.2023,Essence,Manuelle,6,Berline,79500,Gris argent,KIA,RIO
387,387,203000,12.2014,Diesel,Manuelle,9,Pick up,62000,Bleu,MAZDA,BT-50
388,388,110000,11.2015,Essence,Manuelle,5,Citadine,39000,Gris Shark,RENAULT,CLIO
389,389,95000,10.2019,Essence,Automatique,8,SUV/4x4,76000,Noir,JEEP,RENEGADE
390,390,52000,9.202,Essence,Automatique,9,SUV/4x4,85000,Blanc,HAVAL,H6
391,391,196000,11.2011,Diesel,Automatique,10,Berline,82000,Noir,BMW,SERIE 5
392,392,110000,5.202,Essence,Automatique,6,SUV/4x4,105000,Noir,PEUGEOT,3008
393,393,100000,5.2016,Essence,Automatique,7,Coupé,112000,Blanc,BMW,SERIE 4
394,394,56000,1.2019,Essence,Automatique,7,Compacte,135000,Blanc,MERCEDES-BENZ,CLASSE A
395,395,83000,4.2016,Essence,Automatique,12,SUV/4x4,210000,Noir,MERCEDES-BENZ,GLC
396,396,212000,5.2012,Essence,Manuelle,7,Coupé,27500,Rouge,RENAULT,MEGANE
397,397,104000,1.2017,Essence,Manuelle,9,Berline,54900,Gris argent,FORD,FUSION
